Items for sale,,,,,
month,day,year,,,
September, 1st,2020,,,
item,********,price total,availability,usage,value
Google Play card,price:,$15.00,available,unused,$15 balance
Starbucks card,price:,$10.00,available,unused,$10 balance
Sextuple shelf,price:,$6.50, available,used,no balance
Windows 95 keyboard,price:,$9.50, available,unused,no balance
Lava lamp,price:,$40.00, available,unused,no balance
TinTin DVD,price:,$5.00, available,unused,no balance
Shrek 2 DVD,price:,$5.00, unavailable,used,no balance
Glow in the dark nerf water pellet rifle (green),price:,$30.00, available,used,no balance
Green surgical scissors,price:,$3.00,available,used,no balance
Stix and balls,price:,$12.50, available,used,no balance
Crayon 96 pack,price:,$8.00, available,unused,no balance
Uplink octo-HDMI hub (8 HDMI ports),price:,$5.00, available,unused,no balance
Gear VR Headset,price:,$80.00, available,used,no balance
September 1st 2020 total,total:,$229.50,,,
September, 2nd,2020, (new),,
See-through plastic rounded ruler, price:,$0.25, available,unused,no balance
4 mb/s Internet USB adapter, price:,$1.50, available,used,no balance
,total:,$2.00,,,
September 3rd 2020,,,,,
No items listed here yet,price:,$0.00,null,null,null
,total:,$0.00,,,
